Rank,Ticker,Sector,Industry,Exchange,Relative Strength,Percentile,1M_RS_Percentile,3M_RS_Percentile,6M_RS_Percentile,Price,MarketCap,Float,ShortFloatPct,PctFrom52WkHigh,AvgVol10,AvgVol30,AvgVol50,RevenueGrowth
3222,VLOS,Financial Services,Shell Companies,NASDAQ,91.22,45,38,37,52,10.69,251960894.2808342,23481911.0,0.00059999997,-10.62,1087,18059,43323,
3223,FTV,Technology,Scientific & Technical Instruments,NYSE,91.21,45,59,68,57,55.3,16517312159.122696,302017052.0,0.0657,-14.34,2210730,2140240,2461780,0.079
3224,VMO,Financial Services,Asset Management,NYSE,91.21,45,54,59,59,9.27,632593623.6379738,67440684.0,0.0050999997,-8.22,283626,209252,209283,-0.004
3225,SAAQ,Financial Services,Shell Companies,NASDAQ,91.2,45,38,50,51,10.08,316257948.6448345,31312667.0,0.0002,-9.19,81060,41373,26754,
3226,PG,Consumer Defensive,Household & Personal Products,NYSE,91.19,45,35,40,42,147.02,337414616687.7667,2322672312.0,0.0121,-12.1,8362900,8927980,8808074,0.015
3227,HLT,Consumer Cyclical,Lodging,NYSE,91.19,45,61,74,73,305.63,68912625342.37488,225064910.0,0.026199998,-14.63,1592640,1750496,1928964,0.025
3228,AWF,Financial Services,Asset Management,NYSE,91.17,45,38,39,41,9.98,858847596.1694012,86229678.0,0.29,-12.69,285029,281756,288513,-0.046
3229,RYAN,Financial Services,Insurance Brokers,NYSE,91.17,45,35,16,11,40.29,4653601869.846947,122077702.0,0.1275,-31.93,1912180,1597153,1838508,0.074
3230,BLK,Financial Services,Asset Management,NYSE,91.15,45,58,51,39,1037.24,167204599260.33777,154869259.0,0.0126,-14.98,512050,552520,654674,0.306
3231,VTVT,Healthcare,Biotechnology,NASDAQ,91.15,45,63,79,93,30.46,126407075.4450531,3953928.0,0.0679,-30.77,35940,62996,77186,
3232,AN,Consumer Cyclical,Auto & Truck Dealerships,NYSE,91.15,45,46,33,41,195.37,6733494297.483856,33060806.0,0.1016,-17.15,481050,378530,420788,-0.006
3233,AMX,Communication Services,Telecom Services,NYSE,91.14,45,42,77,87,22.98,68292748571.77734,2991360000.0,0.0054,-19.26,3383940,3188986,2634916,0.031
3234,NEE,Utilities,Utilities - Regulated Electric,NYSE,91.14,45,45,60,81,80.37,171696861290.06976,2085978209.0,0.0,-18.61,10735090,10627386,10524618,0.124
3235,ABVX,Healthcare,Biotechnology,NASDAQ,91.14,45,67,99,99,102.23,10340741716.96135,87160669.0,0.080699995,-31.31,1229910,983486,995040,0.352
3236,OR,Basic Materials,Gold,NYSE,91.14,45,28,49,75,35.47,6748550388.947845,187303653.0,2.93,-26.2,872920,1044450,1023048,0.62
